World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Publications,Influence,Citations,Broad Impact,Patents,Score
474,Brunel University,United Kingdom,37,383+,297,240+,567,679,576,431,521,43.25
Top 1.8%,,,,,,,,,,,,
475,Soochow University (Suzhou),China,30,383+,616+,240+,306,722,415,455,508,43.24
Top 1.8%,,,,,,,,,,,,
476,University of Wisconsin–Milwaukee,USA,150,254,212,240+,538,431,709,485,913+,43.24
Top 1.8%,,,,,,,,,,,,
477,University of Tartu,Estonia,1,318,616+,240+,576,290,482,405,470,43.23
Top 1.8%,,,,,,,,,,,,
478,University of Parma,Italy,25,383+,367,240+,458,500,319,437,713,43.22
Top 1.8%,,,,,,,,,,,,
479,University of Science and Technology Beijing,China,31,383+,107,240+,477,935,482,744,541,43.22
Top 1.8%,,,,,,,,,,,,
480,École normale supérieure de Lyon,France,22,383+,616+,213,460,215,576,431,541,43.21
Top 1.8%,,,,,,,,,,,,
481,James Cook University,Australia,13,383+,581,240+,451,273,302,437,673,43.21
Top 1.8%,,,,,,,,,,,,
482,University of Rennes 1,France,23,383+,616+,240+,342,360,576,464,340,43.21
Top 1.8%,,,,,,,,,,,,
483,University of Wyoming,USA,151,383+,316,240+,537,323,357,464,366,43.21
Top 1.8%,,,,,,,,,,,,
484,Kumamoto University,Japan,18,331,392,240+,532,475,709,522,162,43.21
Top 1.8%,,,,,,,,,,,,
485,University of Crete,Greece,3,383+,616+,240+,542,486,576,405,887,43.2
Top 1.8%,,,,,,,,,,,,
486,Medical University of Graz,Austria,6,383+,616+,240+,523,455,853+,415,521,43.2
Top 1.8%,,,,,,,,,,,,
487,NUI Galway,Ireland,4,383+,573,240+,555,467,415,455,240,43.19
Top 1.8%,,,,,,,,,,,,
488,University of Brescia,Italy,26,383+,616+,240+,588,577,709,405,754,43.19
Top 1.8%,,,,,,,,,,,,
489,Nihon University,Japan,19,323,559,240+,678,565,709,728,96,43.19
Top 1.8%,,,,,,,,,,,,
490,Martin Luther University of Halle-Wittenberg,Germany,36,375,616+,209,420,355,709,437,649,43.19
Top 1.8%,,,,,,,,,,,,
491,Auburn University,USA,152,198,173,240+,499,585,415,630,296,43.19
Top 1.8%,,,,,,,,,,,,
492,Technical University of Dortmund,Germany,37,383+,616+,240+,552,573,415,437,366,43.18
Top 1.8%,,,,,,,,,,,,
493,University of Canterbury,New Zealand,3,175,199,119,591,437,482,586,887,43.18
Top 1.8%,,,,,,,,,,,,
494,Concordia University,Canada,20,383+,132,240+,534,804,853+,655,726,43.18
Top 1.8%,,,,,,,,,,,,
495,Ohio University,USA,153,241,175,240+,669,553,853+,661,198,43.18
Top 1.8%,,,,,,,,,,,,
496,Augusta University,USA,154,383+,616+,240+,512,427,709,425,638,43.18
Top 1.8%,,,,,,,,,,,,
497,Clemson University,USA,155,383+,499,240+,450,529,576,449,373,43.18
Top 1.8%,,,,,,,,,,,,
498,Middle East Technical University,Turkey,1,383+,155,240+,607,861,415,586,913+,43.17
Top 1.8%,,,,,,,,,,,,
499,Griffith University,Australia,14,383+,616+,240+,391,397,252,469,613,43.17
Top 1.8%,,,,,,,,,,,,
500,Texas Tech University,USA,156,383+,213,240+,473,583,319,539,515,43.17
Top 1.9%,,,,,,,,,,,,
501,Technical University of Madrid,Spain,15,235,267,240+,459,696,576,728,132,43.17
Top 1.9%,,,,,,,,,,,,
502,University of Sherbrooke,Canada,21,383+,553,240+,475,393,319,445,638,43.17
Top 1.9%,,,,,,,,,,,,
503,Plymouth University,United Kingdom,38,383+,584,240+,533,454,415,431,604,43.17
Top 1.9%,,,,,,,,,,,,
504,University of Tromsø - The Arctic University of Norway,Norway,4,383+,616+,240+,457,398,482,437,726,43.16
Top 1.9%,,,,,,,,,,,,
505,Baylor University,USA,157,383+,282,240+,655,544,357,469,623,43.16
Top 1.9%,,,,,,,,,,,,
506,Bar-Ilan University,Israel,6,304,431,240+,429,384,576,469,355,43.16
Top 1.9%,,,,,,,,,,,,
507,University of Akron,USA,158,383+,390,240+,692,681,415,715,107,43.16
Top 1.9%,,,,,,,,,,,,
508,Ajou University,South Korea,15,383+,482,240+,620,747,853+,655,116,43.16
Top 1.9%,,,,,,,,,,,,
509,Chonbuk National University,South Korea,16,383+,616+,240+,507,771,709,661,116,43.16
Top 1.9%,,,,,,,,,,,,
510,Bielefeld University,Germany,38,383+,616+,240+,519,392,415,437,686,43.15
Top 1.9%,,,,,,,,,,,,
511,Lille 2 University of Health and Law,France,24,383+,616+,240+,662,453,709,425,649,43.15
Top 1.9%,,,,,,,,,,,,
512,Hunan University,China,32,383+,310,240+,427,873,482,485,713,43.15
Top 1.9%,,,,,,,,,,,,
513,East China Normal University,China,33,383+,261,240+,405,615,853+,514,673,43.15
Top 1.9%,,,,,,,,,,,,
514,Georgia State University,USA,159,383+,345,240+,446,424,415,502,320,43.15
Top 1.9%,,,,,,,,,,,,
515,Eötvös Loránd University,Hungary,1,101,616+,119,611,491,319,539,794,43.15
Top 1.9%,,,,,,,,,,,,
516,University of Hull,United Kingdom,39,324,246,162,587,547,709,535,556,43.13
Top 1.9%,,,,,,,,,,,,
517,Gyeongsang National University,South Korea,17,383+,616+,240+,656,741,482,655,120,43.13
Top 1.9%,,,,,,,,,,,,
518,Mahidol University,Thailand,2,383+,616+,240+,443,317,709,449,887,43.13
Top 1.9%,,,,,,,,,,,,
519,University of Oviedo,Spain,16,383+,503,240+,449,423,319,464,604,43.13
Top 1.9%,,,,,,,,,,,,
520,University of Surrey,United Kingdom,40,231,300,240+,455,524,709,522,347,43.13
Top 1.9%,,,,,,,,,,,,
521,Federal University of Minas Gerais,Brazil,4,383+,314,240+,415,532,482,586,210,43.13
Top 1.9%,,,,,,,,,,,,
522,"University of Maryland, Baltimore County",USA,160,383+,616+,240+,621,388,482,445,456,43.13
Top 1.9%,,,,,,,,,,,,
523,University of Malaya,Malaysia,1,383+,178,240+,417,784,709,682,271,43.12
Top 1.9%,,,,,,,,,,,,
524,University of Catania,Italy,27,238,616+,240+,462,727,415,455,862,43.12
Top 1.9%,,,,,,,,,,,,
525,University of Bremen,Germany,39,383+,616+,240+,464,293,319,469,499,43.12
Top 1.9%,,,,,,,,,,,,
526,National Chung Hsing University,Taiwan,5,383+,224,240+,436,669,576,552,913+,43.12
Top 1.9%,,,,,,,,,,,,
527,Catholic University of Korea,South Korea,18,383+,616+,240+,536,712,709,586,154,43.12
Top 1.9%,,,,,,,,,,,,
528,China Agricultural University,China,34,383+,492,240+,350,376,853+,495,598,43.12
Top 2%,,,,,,,,,,,,
529,University of Lübeck,Germany,40,383+,616+,240+,639,344,576,445,627,43.11
Top 2%,,,,,,,,,,,,
530,University of Dayton,USA,161,365,103,240+,998,901,576,864,521,43.11
Top 2%,,,,,,,,,,,,
531,"Royal Holloway, University of London",United Kingdom,41,239,525,240+,643,358,357,455,686,43.11
Top 2%,,,,,,,,,,,,
532,Aalborg University,Denmark,5,383+,419,240+,487,545,357,495,391,43.11
Top 2%,,,,,,,,,,,,
533,Shinshu University,Japan,20,383+,564,240+,659,677,415,469,299,43.1
Top 2%,,,,,,,,,,,,
534,Osaka City University,Japan,21,115,387,240+,643,624,415,522,433,43.1
Top 2%,,,,,,,,,,,,
535,Curtin University,Australia,15,383+,608,240+,365,346,709,495,564,43.1
Top 2%,,,,,,,,,,,,
536,Deakin University,Australia,16,383+,430,240+,406,542,302,509,576,43.1
Top 2%,,,,,,,,,,,,
537,Nagasaki University,Japan,22,327,215,240+,638,648,576,644,226,43.09
Top 2%,,,,,,,,,,,,
538,Tokyo University of Science,Japan,23,250,616+,240+,601,600,709,522,210,43.09
Top 2%,,,,,,,,,,,,
539,Juntendo University,Japan,24,383+,616+,240+,654,543,576,449,649,43.08
Top 2%,,,,,,,,,,,,
540,"University of Nevada, Reno",USA,162,383+,448,240+,586,461,576,464,521,43.08
Top 2%,,,,,,,,,,,,
541,University Lille 1: Sciences and Technologies,France,25,383+,616+,240+,393,434,415,502,482,43.08
Top 2%,,,,,,,,,,,,
542,University of Potsdam,Germany,41,383+,616+,240+,486,319,482,469,638,43.08
Top 2%,,,,,,,,,,,,
543,Niigata University,Japan,25,312,337,240+,626,472,853+,552,224,43.08
Top 2%,,,,,,,,,,,,
544,University of Belgrade,Serbia,1,301,616+,240+,379,528,319,509,862,43.08
Top 2%,,,,,,,,,,,,
545,Creighton University,USA,163,383+,616+,240+,884,694,415,455,456,43.07
Top 2%,,,,,,,,,,,,
546,University of Trento,Italy,28,383+,616+,240+,500,482,576,464,887,43.07
Top 2%,,,,,,,,,,,,
547,University of Missouri–Kansas City,USA,164,332,372,240+,651,435,709,469,713,43.07
Top 2%,,,,,,,,,,,,
548,University of Windsor,Canada,22,383+,109,240+,806,947,853+,851,686,43.07
Top 2%,,,,,,,,,,,,
549,University of Konstanz,Germany,42,383+,616+,240+,505,351,482,485,450,43.07
Top 2%,,,,,,,,,,,,
550,Panjab University,India,4,353,214,240+,847,775,415,565,825,43.06
Top 2%,,,,,,,,,,,,
551,Chang Gung University,Taiwan,6,383+,616+,240+,330,614,853+,522,887,43.06
Top 2%,,,,,,,,,,,,
552,Fuzhou University,China,35,383+,399,240+,682,989,482,485,515,43.06
Top 2%,,,,,,,,,,,,
553,University of Palermo,Italy,29,383+,616+,240+,481,556,482,485,623,43.05
Top 2%,,,,,,,,,,,,
554,Tokyo Metropolitan University,Japan,26,181,472,240+,695,509,319,502,627,43.05
Top 2%,,,,,,,,,,,,
555,University of Arkansas - Fayetteville,USA,165,229,284,240+,592,645,482,565,391,43.04
Top 2%,,,,,,,,,,,,
556,Yokohama City University,Japan,27,383+,271,240+,707,381,709,552,387,43.04
Top 2.1%,,,,,,,,,,,,
557,University of La Laguna,Spain,17,383+,616+,240+,511,348,319,502,741,43.04
Top 2.1%,,,,,,,,,,,,
558,National Yang-Ming University,Taiwan,7,383+,616+,240+,333,516,853+,535,825,43.04
Top 2.1%,,,,,,,,,,,,
559,Wuhan University of Technology,China,36,383+,520,240+,631,945,576,469,741,43.04
Top 2.1%,,,,,,,,,,,,
560,King Saud University,Saudi Arabia,1,383+,193,240+,448,490,709,667,441,43.04
Top 2.1%,,,,,,,,,,,,
561,University of Texas at Arlington,USA,166,383+,593,240+,520,563,415,522,299,43.03
Top 2.1%,,,,,,,,,,,,
562,University of Cagliari,Italy,30,383+,616+,240+,541,613,576,485,741,43.03
Top 2.1%,,,,,,,,,,,,
563,National Polytechnic Institute of Toulouse,France,26,383+,234,240+,488,688,415,621,465,43.03
Top 2.1%,,,,,,,,,,,,
564,Utah State University,USA,167,185,364,240+,562,425,357,539,450,43.03
Top 2.1%,,,,,,,,,,,,
565,Nara Institute of Science and Technology,Japan,28,383+,616+,240+,836,383,576,612,164,43.03
Top 2.1%,,,,,,,,,,,,
566,Kent State University,USA,168,383+,616+,240+,673,457,576,485,470,43.03
Top 2.1%,,,,,,,,,,,,
567,University of Bayreuth,Germany,43,383+,616+,240+,501,345,319,509,663,43.03
Top 2.1%,,,,,,,,,,,,
568,Central China Normal University,China,37,383+,588,240+,684,787,576,469,807,43.03
Top 2.1%,,,,,,,,,,,,
569,University of Alaska Fairbanks,USA,169,383+,397,240+,646,408,415,502,766,43.03
Top 2.1%,,,,,,,,,,,,
570,Federal University of Rio Grande do Sul,Brazil,5,383+,590,240+,409,501,415,514,807,43.02
Top 2.1%,,,,,,,,,,,,
571,National Central University,Taiwan,8,249,616+,240+,422,433,482,514,887,43.02
Top 2.1%,,,,,,,,,,,,
572,Florida International University,USA,170,383+,558,240+,497,508,415,509,499,43.02
Top 2.1%,,,,,,,,,,,,
573,International School for Advanced Studies,Italy,31,383+,616+,240+,772,456,415,485,807,43.02
Top 2.1%,,,,,,,,,,,,
574,Queensland University of Technology,Australia,17,383+,555,240+,392,548,482,535,456,43.02
Top 2.1%,,,,,,,,,,,,
575,University of Hertfordshire,United Kingdom,42,383+,616+,240+,801,464,576,485,807,43
Top 2.1%,,,,,,,,,,,,
576,Shanghai University,China,38,383+,469,240+,454,940,576,514,842,43
Top 2.1%,,,,,,,,,,,,
577,King Abdullah University of Science and Technology,Saudi Arabia,2,383+,616+,133,498,445,709,667,191,43
Top 2.1%,,,,,,,,,,,,
578,University of Hanover,Germany,44,383+,502,240+,551,562,415,539,314,43
Top 2.1%,,,,,,,,,,,,
579,Inha University,South Korea,19,383+,352,240+,581,826,482,574,282,43
Top 2.1%,,,,,,,,,,,,
580,Tokyo University of Agriculture and Technology,Japan,29,383+,616+,240+,725,847,482,682,151,42.99
Top 2.1%,,,,,,,,,,,,
581,University of Aveiro,Portugal,4,383+,616+,240+,425,728,576,552,355,42.99
Top 2.1%,,,,,,,,,,,,
582,University of Portsmouth,United Kingdom,43,383+,496,240+,803,682,319,509,842,42.99
Top 2.1%,,,,,,,,,,,,
583,Beijing University of Chemical Technology,China,39,383+,542,240+,504,989,709,586,236,42.99
Top 2.1%,,,,,,,,,,,,
584,University of Toledo,USA,171,383+,616+,240+,637,567,576,612,192,42.99
Top 2.2%,,,,,,,,,,,,
585,University of Ioannina,Greece,4,383+,616+,240+,641,762,482,502,913+,42.99
Top 2.2%,,,,,,,,,,,,
586,University of Tokushima,Japan,30,114,562,240+,719,527,853+,655,228,42.99
Top 2.2%,,,,,,,,,,,,
587,Konkuk University,South Korea,20,383+,407,240+,514,789,576,621,224,42.98
Top 2.2%,,,,,,,,,,,,
588,University of Zagreb,Croatia,1,383+,616+,240+,572,495,357,514,766,42.98
Top 2.2%,,,,,,,,,,,,
589,University of Salamanca,Spain,18,383+,461,240+,570,487,357,522,713,42.98
Top 2.2%,,,,,,,,,,,,
590,SUNY Downstate Medical Center,USA,172,383+,616+,157,792,462,709,522,541,42.98
Top 2.2%,,,,,,,,,,,,
591,University of South Australia,Australia,18,383+,279,240+,506,647,576,630,355,42.97
Top 2.2%,,,,,,,,,,,,
592,University of Minho,Portugal,5,383+,616+,240+,546,654,302,565,366,42.97
Top 2.2%,,,,,,,,,,,,
593,Otto-von-Guericke University Magdeburg,Germany,45,383+,616+,240+,529,587,482,522,521,42.97
Top 2.2%,,,,,,,,,,,,
594,Universidade Nova de Lisboa,Portugal,6,383+,616+,166,474,519,576,552,623,42.97
Top 2.2%,,,,,,,,,,,,
595,"University of Eastern Piedmont ""Amedeo Avogadro""",Italy,32,383+,616+,240+,685,616,415,514,726,42.96
Top 2.2%,,,,,,,,,,,,
596,Mississippi State University,USA,173,176,233,240+,625,574,576,667,564,42.96
Top 2.2%,,,,,,,,,,,,
597,American University of Beirut,Lebanon,1,136,160,240+,831,721,853+,828,913+,42.96
Top 2.2%,,,,,,,,,,,,
598,Graduate University for Advanced Studies,Japan,31,383+,616+,240+,687,305,853+,514,913+,42.96
Top 2.2%,,,,,,,,,,,,
599,University of Angers,France,27,383+,616+,240+,674,549,709,514,604,42.95
Top 2.2%,,,,,,,,,,,,
600,"Palacký University, Olomouc",Czech Republic,2,383+,616+,240+,726,531,415,522,541,42.95
Top 2.2%,,,,,,,,,,,,
601,Second University of Naples,Italy,33,383+,616+,240+,558,631,709,522,887,42.95
Top 2.2%,,,,,,,,,,,,
602,University of Rhode Island,USA,174,383+,283,240+,692,400,576,621,410,42.94
Top 2.2%,,,,,,,,,,,,
603,University of Montana,USA,175,370,490,240+,723,352,302,552,649,42.94
Top 2.2%,,,,,,,,,,,,
604,University of Fribourg,Switzerland,8,262,289,240+,714,482,709,601,825,42.94
Top 2.2%,,,,,,,,,,,,
605,China Medical University (Taiwan),Taiwan,9,383+,616+,240+,380,630,853+,574,825,42.94
Top 2.2%,,,,,,,,,,,,
606,Montana State University,USA,176,383+,540,240+,611,329,482,539,521,42.94
Top 2.2%,,,,,,,,,,,,
607,Indian Institute of Technology Madras,India,5,383+,196,240+,569,951,709,764,391,42.93
Top 2.2%,,,,,,,,,,,,
608,Paris-Est Créteil Val-de-Marne University,France,28,383+,411,240+,700,638,576,539,862,42.93
Top 2.2%,,,,,,,,,,,,
609,University of Cantabria,Spain,19,383+,572,240+,662,552,319,552,564,42.93
Top 2.2%,,,,,,,,,,,,
610,Federal University of São Paulo,Brazil,6,383+,616+,240+,482,557,357,565,794,42.93
Top 2.2%,,,,,,,,,,,,
611,Semmelweis University,Hungary,2,383+,616+,240+,650,442,576,535,704,42.92
Top 2.3%,,,,,,,,,,,,
612,King Fahd University of Petroleum and Minerals,Saudi Arabia,3,383+,129,240+,871,902,576,936,913+,42.92
Top 2.3%,,,,,,,,,,,,
613,University of Clermont Auvergne,France,29,383+,616+,222,578,589,709,539,521,42.92
Top 2.3%,,,,,,,,,,,,
614,Flinders University,Australia,19,131,616+,240+,484,471,576,612,713,42.92
Top 2.3%,,,,,,,,,,,,
615,New York Medical College,USA,177,383+,616+,240+,830,732,709,522,686,42.92
Top 2.3%,,,,,,,,,,,,
616,Indian Institute of Technology Kharagpur,India,6,383+,260,240+,495,980,853+,661,704,42.92
Top 2.3%,,,,,,,,,,,,
617,Indian Institute of Technology Roorkee,India,7,383+,306,240+,862,945,319,612,913+,42.92
Top 2.3%,,,,,,,,,,,,
618,Beijing Institute of Technology,China,40,383+,603,240+,440,973,709,574,556,42.92
Top 2.3%,,,,,,,,,,,,
619,University of Graz,Austria,7,366,462,226,596,575,709,552,704,42.91
Top 2.3%,,,,,,,,,,,,
620,New Mexico State University,USA,178,383+,491,240+,758,634,482,539,913+,42.91
Top 2.3%,,,,,,,,,,,,
621,Yokohama National University,Japan,32,93,249,195,968,889,853+,920,340,42.91
Top 2.3%,,,,,,,,,,,,
622,University of Patras,Greece,5,383+,616+,240+,553,830,576,552,794,42.91
Top 2.3%,,,,,,,,,,,,
623,"UNESP, São Paulo State University",Brazil,7,383+,616+,240+,357,595,482,630,598,42.9
Top 2.3%,,,,,,,,,,,,
624,Memorial University of Newfoundland,Canada,23,383+,489,240+,580,505,482,565,673,42.9
Top 2.3%,,,,,,,,,,,,
625,National Technical University of Athens,Greece,6,211,433,240+,560,958,576,586,913+,42.9
Top 2.3%,,,,,,,,,,,,
626,Donghua University,China,41,383+,616+,240+,736,967,357,552,766,42.9
Top 2.3%,,,,,,,,,,,,
627,Polytechnic University of Bari,Italy,34,383+,616+,240+,917,514,415,539,825,42.9
Top 2.3%,,,,,,,,,,,,
628,Gunma University,Japan,33,383+,616+,240+,706,590,709,630,236,42.9
Top 2.3%,,,,,,,,,,,,
629,La Trobe University,Australia,20,383+,508,240+,496,426,709,574,754,42.9
Top 2.3%,,,,,,,,,,,,
630,Örebro University,Sweden,11,383+,484,240+,807,685,415,552,913+,42.9
Top 2.3%,,,,,,,,,,,,
631,Tata Institute of Fundamental Research,India,8,383+,616+,240+,545,440,357,574,825,42.9
Top 2.3%,,,,,,,,,,,,
632,Beihang University,China,42,383+,354,240+,374,801,853+,661,477,42.9
Top 2.3%,,,,,,,,,,,,
633,"Birkbeck, University of London",United Kingdom,44,210,616+,168,748,356,709,586,887,42.9
Top 2.3%,,,,,,,,,,,,
634,Hacettepe University,Turkey,2,383+,616+,240+,653,551,482,552,913+,42.9
Top 2.3%,,,,,,,,,,,,
635,Massey University,New Zealand,4,383+,466,240+,567,503,576,574,726,42.89
Top 2.3%,,,,,,,,,,,,
636,University of Greifswald,Germany,46,383+,616+,233,675,492,576,565,492,42.89
Top 2.3%,,,,,,,,,,,,
637,Tokyo Women's Medical University,Japan,34,383+,616+,240+,819,619,576,552,521,42.89
Top 2.3%,,,,,,,,,,,,
638,University of Jyväskylä,Finland,7,383+,597,240+,514,499,709,574,754,42.89
Top 2.3%,,,,,,,,,,,,
639,Carleton University,Canada,24,383+,587,240+,527,765,357,586,913+,42.89
Top 2.4%,,,,,,,,,,,,
640,University of Los Andes (Colombia),Colombia,1,383+,187,240+,897,522,415,775,862,42.88
Top 2.4%,,,,,,,,,,,,
641,Bangor University,United Kingdom,45,283,437,240+,618,582,576,601,477,42.88
Top 2.4%,,,,,,,,,,,,
642,Capital Medical University,China,43,383+,616+,240+,439,618,415,612,794,42.88
Top 2.4%,,,,,,,,,,,,
643,Istanbul University,Turkey,3,236,425,240+,698,517,709,586,913+,42.88
Top 2.4%,,,,,,,,,,,,
644,Uniformed Services University of the Health Sciences,USA,179,383+,616+,240+,645,489,853+,565,913+,42.88
Top 2.4%,,,,,,,,,,,,
645,Northern Illinois University,USA,180,383+,293,240+,757,705,252,694,741,42.87
Top 2.4%,,,,,,,,,,,,
646,Northeast Normal University,China,44,383+,616+,240+,632,805,853+,565,913+,42.87
Top 2.4%,,,,,,,,,,,,
647,Rovira i Virgili University,Spain,20,383+,616+,240+,535,559,576,586,576,42.87
Top 2.4%,,,,,,,,,,,,
648,Sharif University of Technology,Iran,1,128,616+,240+,563,962,482,644,913+,42.87
Top 2.4%,,,,,,,,,,,,
649,University of Québec at Montreal,Canada,25,383+,421,240+,527,538,482,612,913+,42.87
Top 2.4%,,,,,,,,,,,,
650,Open University (UK),United Kingdom,46,383+,616+,240+,661,422,482,574,794,42.87
Top 2.4%,,,,,,,,,,,,
651,Braunschweig University of Technology,Germany,47,255,576,240+,599,361,709,630,340,42.87
Top 2.4%,,,,,,,,,,,,
652,University of Texas at San Antonio,USA,181,383+,616+,240+,633,496,709,601,404,42.87
Top 2.4%,,,,,,,,,,,,
653,Cranfield University,United Kingdom,47,383+,179,240+,796,913,709,828,456,42.87
Top 2.4%,,,,,,,,,,,,
654,University of Paris 13,France,30,383+,616+,240+,677,735,576,574,704,42.86
Top 2.4%,,,,,,,,,,,,
655,Tokai University,Japan,35,383+,616+,240+,793,698,709,586,429,42.86
Top 2.4%,,,,,,,,,,,,
656,Hong Kong Baptist University,Hong Kong,6,383+,565,240+,617,867,576,586,686,42.85
Top 2.4%,,,,,,,,,,,,
657,Polytechnic University of Turin,Italy,35,383+,410,240+,494,854,709,667,325,42.85
Top 2.4%,,,,,,,,,,,,
658,Comenius University in Bratislava,Slovak Republic,1,383+,616+,240+,763,655,576,574,862,42.85
Top 2.4%,,,,,,,,,,,,
659,University of Burgundy,France,31,248,616+,240+,540,558,576,612,627,42.85
Top 2.4%,,,,,,,,,,,,
660,Old Dominion University,USA,182,383+,616+,240+,784,612,482,601,429,42.85
Top 2.4%,,,,,,,,,,,,
661,Czech Technical University in Prague,Czech Republic,3,364,616+,240+,712,763,482,586,638,42.85
Top 2.4%,,,,,,,,,,,,
662,Louisiana Tech University,USA,183,383+,209,240+,996,897,482,764,704,42.85
Top 2.4%,,,,,,,,,,,,
663,Keele University,United Kingdom,48,383+,616+,240+,681,526,415,601,627,42.85
Top 2.4%,,,,,,,,,,,,
664,Southern Illinois University Carbondale,USA,184,224,574,240+,615,564,709,612,576,42.85
Top 2.4%,,,,,,,,,,,,
665,City University London,United Kingdom,49,383+,159,240+,770,908,709,920,482,42.84
Top 2.4%,,,,,,,,,,,,
666,Warsaw University of Technology,Poland,3,362,548,240+,737,768,302,621,862,42.84
Top 2.4%,,,,,,,,,,,,
667,University of the Balearic Islands,Spain,21,383+,616+,240+,689,597,576,601,564,42.84
Top 2.5%,,,,,,,,,,,,
668,University of Idaho,USA,185,383+,616+,240+,680,506,576,601,613,42.84
Top 2.5%,,,,,,,,,,,,
669,Portland State University,USA,186,383+,253,240+,789,636,709,715,521,42.84
Top 2.5%,,,,,,,,,,,,
670,Heriot-Watt University,United Kingdom,50,383+,295,240+,623,591,709,694,450,42.84
Top 2.5%,,,,,,,,,,,,
671,Liverpool John Moores University,United Kingdom,51,383+,616+,240+,697,428,576,601,649,42.84
Top 2.5%,,,,,,,,,,,,
672,Second Military Medical University,China,45,383+,616+,240+,509,584,576,630,477,42.83
Top 2.5%,,,,,,,,,,,,
673,Banaras Hindu University,India,9,264,299,240+,760,920,709,667,913+,42.83
Top 2.5%,,,,,,,,,,,,
674,State University of New York Upstate Medical University,USA,187,383+,616+,240+,810,602,576,601,541,42.83
Top 2.5%,,,,,,,,,,,,
675,Tilburg University,Netherlands,13,383+,270,240+,543,872,576,715,913+,42.83
Top 2.5%,,,,,,,,,,,,
676,Istanbul Technical University,Turkey,4,383+,408,240+,676,860,415,630,794,42.83
Top 2.5%,,,,,,,,,,,,
677,Swinburne University of Technology,Australia,21,383+,616+,240+,635,484,482,612,686,42.83
Top 2.5%,,,,,,,,,,,,
678,Marche Polytechnic University,Italy,36,383+,616+,240+,686,690,853+,601,726,42.83
Top 2.5%,,,,,,,,,,,,
679,University of Salerno,Italy,37,383+,616+,240+,573,780,576,621,576,42.83
Top 2.5%,,,,,,,,,,,,
680,Kitasato University,Japan,36,383+,616+,128,772,710,853+,744,245,42.82
Top 2.5%,,,,,,,,,,,,
681,Swansea University,United Kingdom,52,383+,483,240+,522,448,576,644,541,42.82
Top 2.5%,,,,,,,,,,,,
682,Binghamton University,USA,188,383+,245,240+,722,689,709,744,663,42.82
Top 2.5%,,,,,,,,,,,,
683,Indian Institute of Technology Bombay,India,10,383+,522,240+,523,815,709,667,329,42.82
Top 2.5%,,,,,,,,,,,,
684,Chongqing University,China,46,383+,286,240+,478,907,709,728,807,42.82
Top 2.5%,,,,,,,,,,,,
685,Ankara University,Turkey,5,383+,361,240+,785,664,482,644,913+,42.82
Top 2.5%,,,,,,,,,,,,
686,Masaryk University,Czech Republic,4,383+,616+,240+,614,436,709,621,663,42.81
Top 2.5%,,,,,,,,,,,,
687,University of Vigo,Spain,22,383+,616+,240+,571,843,576,630,613,42.81
Top 2.5%,,,,,,,,,,,,
688,Loughborough University,United Kingdom,53,383+,616+,240+,561,837,482,644,508,42.81
Top 2.5%,,,,,,,,,,,,
689,"University François Rabelais, Tours",France,32,223,616+,240+,671,515,853+,630,673,42.81
Top 2.5%,,,,,,,,,,,,
690,Tampere University of Technology,Finland,8,383+,250,240+,841,678,482,764,754,42.8
Top 2.5%,,,,,,,,,,,,
691,University of Toyama,Japan,37,383+,308,240+,733,849,709,682,842,42.8
Top 2.5%,,,,,,,,,,,,
692,Kagoshima University,Japan,38,383+,358,240+,778,700,709,775,228,42.8
Top 2.5%,,,,,,,,,,,,
693,Ehime University,Japan,39,383+,526,240+,660,578,709,644,456,42.8
Top 2.5%,,,,,,,,,,,,
694,University of Debrecen,Hungary,3,383+,616+,240+,742,626,482,630,564,42.8
Top 2.5%,,,,,,,,,,,,
695,Norwegian University of Life Sciences,Norway,5,383+,616+,240+,616,520,709,630,766,42.8
Top 2.6%,,,,,,,,,,,,
696,University of Insubria,Italy,38,383+,616+,240+,745,570,709,621,913+,42.8
Top 2.6%,,,,,,,,,,,,
697,University of Girona,Spain,23,383+,616+,240+,640,829,576,630,673,42.8
Top 2.6%,,,,,,,,,,,,
698,Kindai University,Japan,40,383+,616+,240+,728,699,482,644,456,42.8
Top 2.6%,,,,,,,,,,,,
699,Chungnam National University,South Korea,21,383+,616+,240+,489,606,853+,682,397,42.79
Top 2.6%,,,,,,,,,,,,
700,Osaka Prefecture University,Japan,41,383+,384,240+,765,836,853+,744,247,42.79
Top 2.6%,,,,,,,,,,,,
701,"University of Science, Malaysia",Malaysia,2,383+,616+,240+,597,881,482,764,228,42.79
Top 2.6%,,,,,,,,,,,,
702,Albany Medical College,USA,189,193,616+,240+,935,766,853+,644,713,42.79
Top 2.6%,,,,,,,,,,,,
703,University of New Orleans,USA,190,383+,616+,240+,991,865,319,644,825,42.79
Top 2.6%,,,,,,,,,,,,
704,University of L'Aquila,Italy,39,383+,616+,240+,712,734,709,630,766,42.79
Top 2.6%,,,,,,,,,,,,
705,University of Mons,Belgium,8,383+,616+,240+,855,680,576,630,604,42.79
Top 2.6%,,,,,,,,,,,,
706,University of Missouri–St. Louis,USA,191,383+,281,240+,927,629,576,728,576,42.78
Top 2.6%,,,,,,,,,,,,
707,University of Kent,United Kingdom,54,383+,415,240+,603,438,576,667,627,42.78
Top 2.6%,,,,,,,,,,,,
