World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Publications,Influence,Citations,Broad Impact,Patents,Score
78,King's College London,United Kingdom,7,28,167,109,68,83,62,58,199,50.17
Top 0.3%,,,,,,,,,,,,
79,Emory University,USA,47,383+,127,131,64,53,70,36,63,50.17
Top 0.3%,,,,,,,,,,,,
80,"University of Maryland, College Park",USA,48,59,203,54,75,44,40,71,201,50.13
Top 0.3%,,,,,,,,,,,,
81,Brown University,USA,49,80,39,46,120,87,97,105,208,50.12
Top 0.3%,,,,,,,,,,,,
82,University of Melbourne,Australia,2,88,133,141,38,60,50,50,240,50.11
Top 0.3%,,,,,,,,,,,,
83,Utrecht University,Netherlands,1,91,185,118,36,43,55,51,286,49.97
Top 0.3%,,,,,,,,,,,,
84,Sapienza University of Rome,Italy,1,52,200,30,100,181,105,127,306,49.78
Top 0.4%,,,,,,,,,,,,
85,Erasmus University Rotterdam,Netherlands,2,383+,42,207,81,118,97,46,166,49.68
Top 0.4%,,,,,,,,,,,,
86,Ruprecht Karl University of Heidelberg,Germany,2,48,370,64,69,58,70,44,214,49.66
Top 0.4%,,,,,,,,,,,,
87,Tel Aviv University,Israel,3,72,82,53,109,122,183,146,45,49.61
Top 0.4%,,,,,,,,,,,,
88,Tohoku University,Japan,6,49,131,195,95,152,183,141,21,49.57
Top 0.4%,,,,,,,,,,,,
89,Swiss Federal Institute of Technology in Lausanne,Switzerland,2,383+,72,119,129,115,55,84,62,49.49
Top 0.4%,,,,,,,,,,,,
90,University of Texas MD Anderson Cancer Center,USA,50,383+,616+,87,90,72,59,26,67,49.46
Top 0.4%,,,,,,,,,,,,
91,University of Zurich,Switzerland,3,135,388,93,63,47,43,59,143,49.46
Top 0.4%,,,,,,,,,,,,
92,University of Geneva,Switzerland,4,39,220,40,132,82,97,84,379,49.42
Top 0.4%,,,,,,,,,,,,
93,University of Notre Dame,USA,51,246,25,157,271,263,252,236,275,49.3
Top 0.4%,,,,,,,,,,,,
94,University of Queensland,Australia,3,295,269,146,51,69,73,82,70,49.3
Top 0.4%,,,,,,,,,,,,
95,Georgia Institute of Technology,USA,52,130,75,128,113,173,105,108,43,49.29
Top 0.4%,,,,,,,,,,,,
96,"University of California, Irvine",USA,53,252,616+,48,94,61,66,71,89,49.19
Top 0.4%,,,,,,,,,,,,
97,Lomonosov Moscow State University,Russia,1,15,206,59,309,259,302,363,766,49.19
Top 0.4%,,,,,,,,,,,,
98,Tufts University,USA,54,76,43,185,185,171,81,113,71,48.94
Top 0.4%,,,,,,,,,,,,
99,University of Oslo,Norway,1,61,322,47,98,114,89,93,201,48.64
Top 0.4%,,,,,,,,,,,,
100,Ghent University,Belgium,2,149,325,152,71,95,60,80,114,48.6
Top 0.4%,,,,,,,,,,,,
101,Texas A&M University,USA,55,359,89,51,92,132,81,154,89,48.58
Top 0.4%,,,,,,,,,,,,
102,University of Groningen,Netherlands,3,190,237,111,56,86,66,69,382,48.56
Top 0.4%,,,,,,,,,,,,
103,University of Barcelona,Spain,1,383+,236,240+,50,92,89,51,250,48.56
Top 0.4%,,,,,,,,,,,,
104,Yonsei University,South Korea,2,383+,50,240+,127,341,415,221,24,48.53
Top 0.4%,,,,,,,,,,,,
105,University of New South Wales,Australia,4,200,60,215,84,157,73,129,136,48.45
Top 0.4%,,,,,,,,,,,,
106,University of Alberta,Canada,4,187,163,156,67,117,73,98,100,48.44
Top 0.4%,,,,,,,,,,,,
107,Nanyang Technological University,Singapore,2,383+,591,240+,93,310,105,118,41,48.41
Top 0.4%,,,,,,,,,,,,
108,Radboud University Nijmegen,Netherlands,4,132,291,240+,83,102,45,61,298,48.4
Top 0.4%,,,,,,,,,,,,
109,University of Amsterdam,Netherlands,5,126,409,234,57,79,81,60,262,48.36
Top 0.4%,,,,,,,,,,,,
110,Arizona State University,USA,56,383+,266,95,139,109,105,173,23,48.34
Top 0.4%,,,,,,,,,,,,
111,Technical University of Munich,Germany,3,47,146,181,102,89,126,90,132,48.3
Top 0.4%,,,,,,,,,,,,
112,Free University of Berlin,Germany,4,84,551,107,73,75,73,75,355,48.27
Top 0.5%,,,,,,,,,,,,
113,VU University Amsterdam,Netherlands,6,383+,450,240+,70,120,50,71,482,48.26
Top 0.5%,,,,,,,,,,,,
114,University of Helsinki,Finland,1,58,507,113,79,78,103,61,482,48.22
Top 0.5%,,,,,,,,,,,,
115,Leiden University,Netherlands,7,155,583,104,80,84,81,66,151,48.22
Top 0.5%,,,,,,,,,,,,
116,Baylor College of Medicine,USA,57,383+,616+,119,114,39,73,44,157,48.17
Top 0.5%,,,,,,,,,,,,
117,Mines ParisTech,France,5,306,23,171,962,863,853+,887,887,48.11
Top 0.5%,,,,,,,,,,,,
118,Case Western Reserve University,USA,58,50,227,217,146,111,81,90,91,48.09
Top 0.5%,,,,,,,,,,,,
119,University of Bristol,United Kingdom,8,221,182,67,96,66,89,93,349,48.08
Top 0.5%,,,,,,,,,,,,
120,Rice University,USA,59,57,95,70,286,162,62,151,72,48.03
Top 0.5%,,,,,,,,,,,,
121,Aarhus University,Denmark,2,335,184,103,78,81,97,102,151,48
Top 0.5%,,,,,,,,,,,,
122,Paris Diderot University - Paris 7,France,6,98,616+,88,105,48,81,75,541,47.95
Top 0.5%,,,,,,,,,,,,
123,Korea University,South Korea,3,383+,45,240+,170,396,252,236,36,47.94
Top 0.5%,,,,,,,,,,,,
124,Humboldt University of Berlin,Germany,5,319,616+,182,76,76,73,71,499,47.87
Top 0.5%,,,,,,,,,,,,
125,Uppsala University,Sweden,2,53,278,79,104,70,126,100,842,47.84
Top 0.5%,,,,,,,,,,,,
126,Kyushu University,Japan,7,298,55,240+,169,220,319,236,38,47.75
Top 0.5%,,,,,,,,,,,,
127,University of Colorado Denver | Anschutz Medical Campus,USA,60,383+,616+,141,123,104,81,75,84,47.73
Top 0.5%,,,,,,,,,,,,
128,Lund University,Sweden,3,162,427,171,87,129,70,75,887,47.71
Top 0.5%,,,,,,,,,,,,
129,University of Montreal,Canada,5,347,197,240+,85,94,119,90,186,47.62
Top 0.5%,,,,,,,,,,,,
130,Michigan State University,USA,61,113,137,240+,103,141,89,130,85,47.6
Top 0.5%,,,,,,,,,,,,
131,Georgetown University,USA,62,157,31,240+,319,318,252,221,138,47.59
Top 0.5%,,,,,,,,,,,,
132,Southern Methodist University,USA,63,205,26,240+,711,580,415,621,766,47.58
Top 0.5%,,,,,,,,,,,,
133,Nagoya University,Japan,8,42,263,58,161,163,213,205,64,47.54
Top 0.5%,,,,,,,,,,,,
134,Tokyo Institute of Technology,Japan,9,195,51,82,223,205,213,214,61,47.54
Top 0.5%,,,,,,,,,,,,
135,Indiana University - Bloomington,USA,64,104,37,179,192,150,252,205,223,47.52
Top 0.5%,,,,,,,,,,,,
136,Monash University,Australia,5,302,153,240+,66,110,153,136,118,47.47
Top 0.5%,,,,,,,,,,,,
137,McMaster University,Canada,6,247,328,163,126,126,66,69,217,47.46
Top 0.5%,,,,,,,,,,,,
138,Icahn School of Medicine at Mount Sinai,USA,65,383+,616+,240+,152,64,89,61,122,47.45
Top 0.5%,,,,,,,,,,,,
139,University of Iowa,USA,66,137,240,169,112,101,153,111,79,47.34
Top 0.6%,,,,,,,,,,,,
140,KAIST,South Korea,4,383+,140,240+,197,309,709,260,17,47.34
Top 0.6%,,,,,,,,,,,,
